hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status_date
1,0,342,2015,5,27,1,0,0,2,0.0,0,0,135,3,1,0,0,0,2,2,3,0,0,2,0.0,0,0,121
1,0,737,2015,5,27,1,0,0,2,0.0,0,0,135,3,1,0,0,0,2,2,4,0,0,2,0.0,0,0,121
1,0,7,2015,5,27,1,0,1,1,0.0,0,0,59,3,1,0,0,0,0,2,0,0,0,2,75.0,0,0,122
1,0,13,2015,5,27,1,0,1,1,0.0,0,0,59,2,0,0,0,0,0,0,0,0,0,2,75.0,0,0,122
1,0,14,2015,5,27,1,0,2,2,0.0,0,0,59,6,3,0,0,0,0,0,0,0,0,2,98.0,0,1,123
1,0,0,2015,5,27,1,0,2,2,0.0,0,0,135,3,1,0,0,0,2,2,0,0,0,2,107.0,0,0,123
1,0,9,2015,5,27,1,0,2,2,0.0,0,1,135,3,1,0,0,0,2,2,0,0,0,2,103.0,0,1,123
1,1,85,2015,5,27,1,0,3,2,0.0,0,0,135,6,3,0,0,0,0,0,0,0,0,2,82.0,0,1,72
1,1,75,2015,5,27,1,0,3,2,0.0,0,2,135,5,3,0,0,0,3,3,0,0,0,2,105.5,0,0,61
1,1,23,2015,5,27,1,0,4,2,0.0,0,0,135,6,3,0,0,0,4,4,0,0,0,2,123.0,0,0,114
1,0,35,2015,5,27,1,0,4,2,0.0,0,2,135,6,3,0,0,0,3,3,0,0,0,2,145.0,0,0,125
1,0,68,2015,5,27,1,0,4,2,0.0,0,0,169,6,3,0,0,0,3,4,0,0,0,2,97.0,0,3,125
1,0,18,2015,5,27,1,0,4,2,1.0,0,2,51,6,3,0,0,0,6,6,1,0,0,2,154.77,0,1,125
1,0,37,2015,5,27,1,0,4,2,0.0,0,0,135,6,3,0,0,0,4,4,0,0,0,2,94.71,0,0,125
1,0,68,2015,5,27,1,0,4,2,0.0,0,0,76,6,3,0,0,0,3,4,0,0,0,2,97.0,0,3,125
1,0,37,2015,5,27,1,0,4,2,0.0,0,0,135,5,3,0,0,0,4,4,0,0,0,0,97.5,0,0,125
1,0,12,2015,5,27,1,0,1,2,0.0,0,0,76,6,3,0,0,0,0,4,0,0,0,2,88.2,0,0,122
1,0,0,2015,5,27,1,0,1,2,0.0,0,0,56,2,0,0,0,0,0,6,0,0,0,2,107.42,0,0,122
1,0,7,2015,5,27,1,0,4,2,0.0,0,0,59,3,1,0,0,0,6,6,0,0,0,2,153.0,0,1,125
1,0,37,2015,5,27,1,1,4,1,0.0,0,0,59,6,3,0,0,0,5,5,0,0,0,2,97.29,0,1,126
1,0,72,2015,5,27,1,2,4,2,0.0,0,0,135,3,1,0,0,0,0,0,1,0,0,2,84.67,0,1,127
1,0,72,2015,5,27,1,2,4,2,0.0,0,0,135,3,1,0,0,0,3,3,1,0,0,2,99.67,0,1,127
1,0,127,2015,5,27,1,2,5,2,0.0,0,2,59,5,3,0,0,0,3,8,0,0,0,0,94.95,0,1,121
1,0,78,2015,5,27,1,2,5,2,0.0,0,0,135,5,3,0,0,0,3,3,0,0,0,2,63.6,1,0,128
1,0,48,2015,5,27,1,2,5,2,0.0,0,0,76,5,3,0,0,0,3,3,0,0,0,0,79.5,0,0,128
1,1,60,2015,5,27,1,2,5,2,0.0,0,0,135,6,3,0,0,0,4,4,0,0,0,2,107.0,0,2,76
1,0,77,2015,5,27,1,2,5,2,0.0,0,0,135,6,3,0,0,0,0,0,0,0,0,2,94.0,0,0,128
1,0,99,2015,5,27,1,2,5,2,0.0,0,0,135,6,3,0,0,0,3,3,0,0,0,2,87.3,1,1,128
1,0,95,2015,5,27,1,4,11,2,0.0,0,0,59,5,3,0,0,0,3,3,0,0,0,2,63.86,0,0,136
1,1,96,2015,5,27,1,2,8,2,0.0,0,0,135,3,1,0,0,0,4,4,0,0,0,2,108.3,0,2,92
1,0,69,2015,5,27,2,2,4,2,0.0,0,0,76,5,3,0,0,0,0,2,0,0,0,2,65.5,0,0,128
1,1,45,2015,5,27,2,1,3,3,0.0,0,0,135,6,3,0,0,0,3,3,0,0,0,2,108.8,0,1,83
1,1,40,2015,5,27,2,1,3,3,0.0,0,0,135,6,3,0,0,0,3,3,0,0,0,2,108.8,0,1,111
1,0,15,2015,5,27,2,1,3,2,0.0,0,0,51,6,3,0,0,0,0,2,0,0,0,2,98.0,0,0,126
1,0,36,2015,5,27,2,1,3,3,0.0,0,0,135,6,3,0,0,0,3,3,0,0,0,2,108.8,0,1,126
1,1,43,2015,5,27,2,1,3,3,0.0,0,0,135,6,3,0,0,0,3,3,0,0,0,2,108.8,0,0,87
1,0,70,2015,5,27,2,2,3,2,0.0,0,2,139,3,1,0,0,0,4,4,0,0,0,2,137.0,0,1,127
1,1,45,2015,5,27,2,2,3,2,0.0,0,0,135,6,3,0,0,0,6,6,0,0,0,2,117.81,0,0,82
1,0,45,2015,5,27,2,2,3,2,0.0,0,0,76,5,3,0,0,0,3,3,0,0,0,0,79.5,0,0,127
1,0,16,2015,5,27,2,2,3,2,0.0,0,0,51,3,1,0,0,0,5,5,0,0,0,2,123.0,0,0,127
1,0,107,2015,5,27,2,2,5,2,0.0,0,0,135,6,3,0,0,0,0,0,0,0,0,2,110.7,0,2,129
1,1,47,2015,5,27,2,2,5,2,2.0,0,0,135,6,3,0,0,0,6,6,0,0,0,2,153.0,0,0,95
1,0,96,2015,5,27,2,2,5,2,0.0,0,0,51,5,3,0,0,0,0,0,0,0,0,2,58.95,0,1,129
1,0,113,2015,5,27,2,2,5,2,0.0,0,0,124,5,3,0,0,0,4,4,0,0,0,3,82.88,0,2,129
1,0,90,2015,5,27,2,2,5,2,0.0,0,2,59,5,3,0,0,0,0,1,1,0,0,0,82.35,0,0,129
1,0,50,2015,5,27,2,2,5,2,0.0,0,2,76,6,3,0,0,0,4,5,1,0,0,2,119.35,0,1,129
1,0,113,2015,5,27,2,2,5,2,0.0,0,0,124,5,3,0,0,0,3,3,0,0,0,3,67.58,0,2,129
1,0,93,2015,5,27,2,3,8,2,0.0,0,0,76,5,3,0,0,0,0,0,0,0,0,0,56.01,0,0,133
1,0,76,2015,5,27,2,4,10,2,0.0,0,0,127,5,3,0,0,0,3,3,0,0,0,0,110.7,0,0,136
1,0,3,2015,5,27,2,0,1,2,0.0,0,0,51,6,3,0,0,0,0,2,0,0,0,2,88.2,1,0,123
1,0,1,2015,5,27,2,0,1,2,0.0,0,0,6,6,3,0,0,0,7,7,0,0,0,2,147.0,1,0,123
1,0,1,2015,5,27,2,0,1,2,2.0,0,0,51,3,1,0,0,0,2,2,0,0,0,2,107.0,1,2,123
1,0,0,2015,5,27,2,0,1,2,0.0,0,0,135,3,1,0,0,0,7,7,0,0,0,2,147.0,0,0,123
1,0,0,2015,5,27,2,0,1,2,0.0,0,0,135,6,3,0,0,0,0,3,0,0,0,2,117.9,0,2,123
1,0,0,2015,5,27,2,0,1,2,0.0,0,0,135,3,1,0,0,0,6,6,0,0,0,2,123.0,0,0,123
1,0,14,2015,5,27,2,0,2,2,0.0,0,0,169,6,3,0,0,0,0,2,0,0,0,2,98.0,0,1,124
1,0,10,2015,5,27,2,0,2,2,0.0,0,0,135,6,3,0,0,0,6,6,0,0,0,2,117.81,0,0,124
1,0,5,2015,5,27,2,0,2,2,0.0,0,0,76,6,3,0,0,0,4,4,0,0,0,2,135.0,1,2,124
1,0,17,2015,5,27,2,0,3,2,0.0,0,0,51,3,1,0,0,0,5,5,0,0,0,2,133.0,0,1,125
1,0,93,2015,5,27,2,0,3,2,0.0,0,0,76,5,3,0,0,0,0,2,0,0,0,0,58.95,0,0,125
1,1,3,2015,5,27,2,0,3,2,0.0,0,2,135,6,3,0,0,0,0,0,0,0,0,2,136.33,0,2,119
1,0,10,2015,5,27,3,0,2,2,2.0,0,0,169,6,3,0,0,0,6,7,0,0,0,2,153.0,1,0,125
1,0,3,2015,5,27,3,0,2,2,0.0,0,0,51,6,3,0,0,0,0,2,0,0,0,2,110.5,0,0,125
1,0,51,2015,5,27,3,0,2,2,0.0,0,0,133,6,3,0,0,0,3,3,0,0,0,2,97.0,0,0,125
1,1,71,2015,5,27,3,0,2,3,0.0,0,0,135,5,3,0,0,0,0,0,0,0,0,2,110.3,0,2,108
1,1,63,2015,5,27,3,0,2,2,0.0,0,0,135,6,3,0,0,0,0,0,0,0,0,2,82.0,0,2,110
1,1,62,2015,5,27,3,0,2,2,0.0,0,0,135,6,3,0,0,0,3,3,0,0,0,2,97.0,0,1,123
1,1,101,2015,5,27,3,0,2,2,0.0,0,0,135,6,3,0,0,0,0,0,0,0,0,2,73.8,0,1,104
1,0,2,2015,5,27,3,0,2,2,0.0,0,2,135,5,3,0,0,0,0,0,0,0,0,2,91.5,0,0,125
